,Open,High,Low,Close,Volume,Date
65,1523.300048828125,1524.0,1522.5999755859375,1524.0,31393,2025-07-02
66,1524.0,1524.0,1522.5,1523.199951171875,9956,2025-07-02
67,1523.300048828125,1524.199951171875,1523.300048828125,1524.0,10231,2025-07-02
68,1524.0,1524.0,1523.5,1523.800048828125,14387,2025-07-02
69,1524.0,1524.0,1523.5,1523.5999755859375,7514,2025-07-02
70,1523.699951171875,1524.0,1523.5999755859375,1523.800048828125,9555,2025-07-02
71,1523.800048828125,1523.9000244140625,1523.5,1523.9000244140625,6648,2025-07-02
72,1523.9000244140625,1523.9000244140625,1523.5,1523.5,8058,2025-07-02
73,1523.5999755859375,1524.699951171875,1523.5999755859375,1524.699951171875,15707,2025-07-02
74,1524.699951171875,1524.699951171875,1524.0,1524.4000244140625,10933,2025-07-02
